prodID,pName,brand,category,quantityAvailable,price,discount,discountedPrice,profitPerUnit
PR1,Alisha Solid Women's Cycling Shorts,Alisha,"Lingerie, Sleep & Swimwear",9927,999.0,62.06,379.0,90.96
PR2,FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Sofa Beds & Futons,3939,32157.0,29.58,22646.0,2943.98
PR3,AW Bellies,AW,Ballerinas,7538,999.0,50.05,499.0,119.76
PR4,Alisha Solid Women's Cycling Shorts,Alisha,"Lingerie, Sleep & Swimwear",2105,699.0,61.8,267.0,98.79
PR5,Sicons All Purpose Arnica Dog Shampoo,Sicons,Skin & Coat Care,5666,220.0,4.55,210.0,60.9
PR6,Alisha Solid Women's Cycling Shorts,Alisha,"Lingerie, Sleep & Swimwear",8234,1199.0,60.05,479.0,67.06
PR7,FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Sofa Beds & Futons,2606,32157.0,29.58,22646.0,5435.04
PR8,"dilli bazaaar Bellies, Corporate Casuals, Casuals",dilli bazaaar,Ballerinas,6295,699.0,50.07,349.0,125.64
PR9,Alisha Solid Women's Cycling Shorts,Alisha,"Lingerie, Sleep & Swimwear",3259,1199.0,60.05,479.0,158.07
PR10,Ladela Bellies,Ladela,Ballerinas,5369,1724.0,44.9,950.0,161.5
PR11,Carrel Printed Women's,Carrel,Sports & Gym Wear,6093,2299.0,60.42,910.0,345.8
PR12,Alisha Solid Women's Cycling Shorts,Alisha,"Lingerie, Sleep & Swimwear",3551,999.0,62.06,379.0,121.28
PR13,Freelance Vacuum Bottles 350 ml Bottle,Freelance,Water Bottles,6447,699.0,0.0,699.0,223.68
PR14,Alisha Solid Women's Cycling Shorts,Alisha,"Lingerie, Sleep & Swimwear",9058,999.0,62.06,379.0,56.85
PR15,FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Sofa Beds & Futons,7107,32157.0,29.58,22646.0,8831.94
PR16,Style Foot Bellies,Style Foot,Ballerinas,2862,899.0,50.06,449.0,125.72
PR17,Carrel Printed Women's,Carrel,Sports & Gym Wear,5919,2499.0,60.02,999.0,169.83
PR18,FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Sofa Beds & Futons,7197,32157.0,29.58,22646.0,3623.36
PR19,Sicons Conditioning Conditoner Dog Shampoo,Sicons,Skin & Coat Care,4315,110.0,9.09,100.0,29.0
PR20,dongli Printed Boy's Round Neck T-Shirt,dongli,Boys Wear,9892,2400.0,56.71,1039.0,394.82
PR21,SWAGGA Women Clogs,SWAGGA,Sports Sandals,7473,1500.0,0.0,1500.0,180.0
PR22,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,Kennel,Comfort Toys,3948,190.0,0.0,190.0,36.1
PR23,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,Indcrown,Ethnic Wear,2646,999.0,30.03,699.0,237.66
PR24,Shopmania Music Band A5 Notebook Spiral Bound,Shopmania,Notebooks,8709,499.0,44.89,275.0,49.5
PR25,Shopmania Music Band A5 Notebook Spiral Bound,Shopmania,Notebooks,1622,499.0,44.89,275.0,41.25
PR26,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",Tiara Diaries,Notebooks,8821,1000.0,16.3,837.0,142.29
PR27,KAJCI Embroidered Women's Waistcoat,KAJCI,Formal Wear,3582,1200.0,41.75,699.0,69.9
PR28,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,Packman,Packaging Security Bags,3758,350.0,14.86,298.0,77.48
PR29,Pick Pocket Embroidered Women's Waistcoat,Pick Pocket,Formal Wear,8997,899.0,0.0,899.0,359.6
PR30,Angelfish Silk Potali Potli,Angelfish,Pouches and Potlis,5852,999.0,60.06,399.0,91.77
PR31,Oye Boy's Dungaree,Oye,Boys Wear,2073,899.0,15.02,764.0,282.68
PR32,Nuride Canvas Shoes,Nuride,Casual Shoes,2007,1999.0,32.52,1349.0,269.8
PR33,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,OM SHIVAKRITI,Gramophones,6056,1499.0,0.0,1499.0,494.67
